title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,220 Lombard St APT 116,San Francisco,CA,94111,"$849,000","1 bd , 1 ba , 830 sqft",San Francisco R.E. Svcs.,https://www.zillow.com/homedetails/220-Lombard-St-APT-116-San-Francisco-CA-94111/15064048_zpid/
Condo For Sale,101 Lombard St APT 603W,San Francisco,CA,94111,"$1,650,000","2 bds , 2 ba , 1,500 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/101-Lombard-St-APT-603W-San-Francisco-CA-94111/15064968_zpid/
Condo For Sale,733 Front St UNIT 312,San Francisco,CA,94111,"$1,195,000","1 bd , 1 ba , 1,189 sqft",MaxReal,https://www.zillow.com/homedetails/733-Front-St-UNIT-312-San-Francisco-CA-94111/89239591_zpid/
Condo For Sale,550 Davis St UNIT 44,San Francisco,CA,94111,"$1,995,000","3 bds , 2 ba , 1,520 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/550-Davis-St-UNIT-44-San-Francisco-CA-94111/15067289_zpid/
Condo For Sale,240 Lombard St APT 437,San Francisco,CA,94111,"$625,000","1 bd , 1 ba , 566 sqft",SimpleListing.com,https://www.zillow.com/homedetails/240-Lombard-St-APT-437-San-Francisco-CA-94111/15064147_zpid/
Condo For Sale,550 Davis St UNIT 39,San Francisco,CA,94111,"$1,196,000","1 bd , 1 ba , 914 sqft",,https://www.zillow.com/homedetails/550-Davis-St-UNIT-39-San-Francisco-CA-94111/15067284_zpid/
House For Sale,578 London St,San Francisco,CA,94112,"$999,000","2 bds , 1 ba , 1,250 sqft",Compass,https://www.zillow.com/homedetails/578-London-St-San-Francisco-CA-94112/15174520_zpid/
House For Sale,433 Excelsior Ave,San Francisco,CA,94112,"$899,000","3 bds , 1.5 ba , 1,325 sqft",Climb Real Estate,https://www.zillow.com/homedetails/433-Excelsior-Ave-San-Francisco-CA-94112/15169306_zpid/
House For Sale,57 Niagara Ave,San Francisco,CA,94112,"$699,000","2 bds , 1 ba , 750 sqft",Coldwell Banker,https://www.zillow.com/homedetails/57-Niagara-Ave-San-Francisco-CA-94112/15191339_zpid/
House For Sale,347 Lisbon St,San Francisco,CA,94112,"$1,599,999","6 bds , 6 ba , 3,168 sqft",Intero Real Estate Services,https://www.zillow.com/homedetails/347-Lisbon-St-San-Francisco-CA-94112/15170884_zpid/
House For Sale,271 Lowell St,San Francisco,CA,94112,"$689,000","2 bds , 1 ba , 746 sqft",Better Homes and Gardens Real Estate J.F. Finnegan Realtors,https://www.zillow.com/homedetails/271-Lowell-St-San-Francisco-CA-94112/15179589_zpid/
House For Sale,15 Valdez Ave,San Francisco,CA,94112,"$1,199,000","2 bds , 2 ba , 1,166 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/15-Valdez-Ave-San-Francisco-CA-94112/15139585_zpid/
House For Sale,768 Rolph St,San Francisco,CA,94112,"$898,000","2 bds , 1 ba , 1,160 sqft",,https://www.zillow.com/homedetails/768-Rolph-St-San-Francisco-CA-94112/15177495_zpid/
House For Sale,646 London St,San Francisco,CA,94112,"$788,888","2 bds , 1 ba , 1,336 sqft",CENTURY 21 Baldini Realty,https://www.zillow.com/homedetails/646-London-St-San-Francisco-CA-94112/15176436_zpid/
House For Sale,721 Holloway Ave,San Francisco,CA,94112,"$749,000","1 bd , 1 ba , 735 sqft",Vanguard Properties,https://www.zillow.com/homedetails/721-Holloway-Ave-San-Francisco-CA-94112/15189413_zpid/
House For Sale,7 Rotteck St,San Francisco,CA,94112,"$1,795,000","4 bds , 4 ba , 2,308 sqft",Vanguard Properties,https://www.zillow.com/homedetails/7-Rotteck-St-San-Francisco-CA-94112/15185543_zpid/
Apartment For Sale,4717 4721 Mission St,San Francisco,CA,94112,"$2,795,000","Studio , -- ba , 9,900 sqft","Paragon Coml. Brokerage, Inc",https://www.zillow.com/homedetails/4717-4721-Mission-St-San-Francisco-CA-94112/2090836380_zpid/
House For Sale,1276 Geneva Ave,San Francisco,CA,94112,"$789,000","5 bds , 3 ba , 1,839 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/1276-Geneva-Ave-San-Francisco-CA-94112/15177347_zpid/
House For Sale,399 Ellington Ave,San Francisco,CA,94112,"$799,000","2 bds , 1 ba , 1,510 sqft",,https://www.zillow.com/homedetails/399-Ellington-Ave-San-Francisco-CA-94112/15192891_zpid/
House For Sale,2 Rosella Ct,San Francisco,CA,94112,"$949,000","2 bds , 1 ba , 1,026 sqft",Vision Realty Group,https://www.zillow.com/homedetails/2-Rosella-Ct-San-Francisco-CA-94112/15188253_zpid/
House For Sale,45 Hazelwood Ave,San Francisco,CA,94112,"$1,299,000","2 bds , 1 ba , 1,215 sqft",Realty World - Advance Group,https://www.zillow.com/homedetails/45-Hazelwood-Ave-San-Francisco-CA-94112/15139603_zpid/
Foreclosure,1180 Plymouth Ave,San Francisco,CA,94112,"$899,000","2 bds , 1 ba , -- sqft",Stephen Vokshori,https://www.zillow.com/homedetails/1180-Plymouth-Ave-San-Francisco-CA-94112/15188014_zpid/
House For Sale,617 Lakeview Ave,San Francisco,CA,94112,"$979,800","4 bds , 2 ba , 1,782 sqft",Founders Real Estate Svcs.,https://www.zillow.com/homedetails/617-Lakeview-Ave-San-Francisco-CA-94112/15192211_zpid/
House For Sale,1319 Alemany Blvd,San Francisco,CA,94112,"$1,100,000","3 bds , 2 ba , 1,128 sqft","American Marketing Sys., Inc",https://www.zillow.com/homedetails/1319-Alemany-Blvd-San-Francisco-CA-94112/15186851_zpid/
House For Sale,161 Majestic Ave,San Francisco,CA,94112,"$1,499,000","7 bds , 5 ba , 3,200 sqft",Coldwell Banker Residential Brokerage - San Francisco Sunset,https://www.zillow.com/homedetails/161-Majestic-Ave-San-Francisco-CA-94112/89237842_zpid/
Condo For Sale,1490 Ocean Ave # 205,San Francisco,CA,94112,"$1,395,000","2 bds , 2 ba , 997 sqft",Climb Real Estate,https://www.zillow.com/homedetails/1490-Ocean-Ave-205-San-Francisco-CA-94112/2091240414_zpid/
Condo For Sale,142 Swiss Ave,San Francisco,CA,94131,"$799,000","1 bd , 1 ba , 918 sqft",,https://www.zillow.com/homedetails/142-Swiss-Ave-San-Francisco-CA-94131/61288525_zpid/
House For Sale,179 Brompton Ave,San Francisco,CA,94131,"$1,495,000","3 bds , 2 ba , 1,560 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/179-Brompton-Ave-San-Francisco-CA-94131/15185614_zpid/
Condo For Sale,53 Wilder St UNIT 401,San Francisco,CA,94131,"$1,149,000","2 bds , 2 ba , 1,181 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/53-Wilder-St-UNIT-401-San-Francisco-CA-94131/82786506_zpid/
House For Sale,986 Burnett Ave,San Francisco,CA,94131,"$1,295,000","3 bds , 2 ba , 1,823 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/986-Burnett-Ave-San-Francisco-CA-94131/15132705_zpid/
House For Sale,255 Dellbrook Ave,San Francisco,CA,94131,"$998,000","2 bds , 1 ba , -- sqft",BHHS California Realty,https://www.zillow.com/homedetails/255-Dellbrook-Ave-San-Francisco-CA-94131/15132428_zpid/
Apartment For Sale,214 Monterey Blvd # 216,San Francisco,CA,94131,"$1,349,000","3 bds , 2 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/214-Monterey-Blvd-216-San-Francisco-CA-94131/2090759981_zpid/
House For Sale,187 Carnelian Way,San Francisco,CA,94131,"$1,525,000","3 bds , 3 ba , 1,747 sqft",,https://www.zillow.com/homedetails/187-Carnelian-Way-San-Francisco-CA-94131/15198582_zpid/
House For Sale,610 Duncan St,San Francisco,CA,94131,"$1,995,000","3 bds , 3 ba , 2,500 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/610-Duncan-St-San-Francisco-CA-94131/15182290_zpid/
House For Sale,1600 Diamond St,San Francisco,CA,94131,"$4,385,000","5 bds , 5.5 ba , 3,200 sqft",GPK Luxury Real Estate,https://www.zillow.com/homedetails/1600-Diamond-St-San-Francisco-CA-94131/15199468_zpid/
Condo For Sale,3550 Market St APT 302,San Francisco,CA,94131,"$925,000","2 bds , 2 ba , 1,093 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/3550-Market-St-APT-302-San-Francisco-CA-94131/15130253_zpid/
Condo For Sale,215 Red Rock Way APT 107J,San Francisco,CA,94131,"$699,000","1 bd , 1 ba , 744 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/215-Red-Rock-Way-APT-107J-San-Francisco-CA-94131/15199183_zpid/
